name,price,year,total_km,location,engine_type,transmission
2011 Mercedes Benz C-Class Sedan C 200,197000000,2011,57000,"Jakarta Pusat
5 Seat
1991 Cc
Panggilan Gratis",Bensin,Otomatis
2020 Mercedes Benz C-Class Sedan C 300 AMG Line,733000000,2020,21000,"Jakarta Pusat
5 Seat
1999 Cc
Panggilan Gratis",Bensin,Otomatis
2020 Honda Civic 1.5 ES TRB,390000000,2020,36000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2020 Honda Accord 1.5TC EL,489000000,2020,38000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2019 Honda Accord 1.5L Turbo AT,440000000,2019,12000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2021 BMW 3 Series Sedan 320i Sport,595000000,2021,35000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2018 Toyota Corolla Altis 1.8 V A/T,230000000,2018,1234,"Jakarta Pusat
5 Seat
1798 Cc
Panggilan Gratis",Bensin,CVT
2012 Honda Accord VTI-L AT,169000000,2012,120000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2009 Honda Accord 2.4L VTi-L,130000000,2009,150000,"Jakarta Pusat
5 Seat
2356 Cc
Panggilan Gratis",Bensin,Otomatis
2019 Mercedes Benz C-Class Sedan C 200 Avantgarde Line,420000000,2019,,,,Otomatis
2023 Mercedes Benz E-Class E 200 Avantgarde Line,780000000,2023,20523,"Jakarta Pusat
5 Seat
1991 Cc
Panggilan Gratis",Bensin,Otomatis
2009 Toyota Camry 2.4 V AT,115000000,2009,101000,"Jakarta Pusat
5 Seat
2362 Cc
Panggilan Gratis",Bensin,Otomatis
2022 Honda Accord 1.5L Turbo AT,480000000,2022,21074,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2009 Toyota Camry 3.5 Q AT,135000000,2009,120000,"Jakarta Utara
5 Seat
3456 Cc
Panggilan Gratis",Bensin,Otomatis
2012 Mercedes Benz C-Class C 300 AT CKD,213000000,2012,67559,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2020 Honda Accord 1.5L Turbo AT,425000000,2020,,,,Otomatis
2014 Mercedes Benz E-Class E 250 Avantgarde Line,332000000,2014,18282,"Jakarta Pusat
5 Seat
1991 Cc
Panggilan Gratis",Bensin,Otomatis
2012 Mercedes Benz E-Class E 300 AMG,288000000,2012,,,,
2010 Honda Civic FDI 1.8 M/T,173000000,2010,127000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2019 Honda Civic 1.5L ES,357000000,2019,,,,
2019 Toyota Camry V 2.5L AT,400000000,2019,24000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2015 Honda Accord 2.4L i-VTEC AT,259000000,2015,,,,Otomatis
