name,price,year,total_km,location,engine_type,transmission
2014 Ford Fiesta 1.5L AT S,100000000,2014,,,,Otomatis
2020 Suzuki Ignis GX AGS,142000000,2020,77000,"Jakarta Pusat
5 Seat
1197 Cc
Panggilan Gratis",Bensin,Otomatis
2020 Mazda 2 GT AT,202000000,2020,65000,"Jakarta Pusat
5 Seat
1496 Cc
Panggilan Gratis",Bensin,Otomatis
2019 Mazda 2 GT AT,195000000,2019,,,,Otomatis
2018 Mazda 2 GT AT,190000000,2018,72000,"Jakarta Pusat
5 Seat
1496 Cc
Panggilan Gratis",Bensin,Otomatis
2015 Mazda 2 R AT,185000000,2015,75000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,Otomatis
2014 Mitsubishi Mirage Exceed,105000000,2014,,,,
2014 Mazda 2 R AT,145000000,2014,120000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,Otomatis
2019 Suzuki Ignis GX 1.2 AT,145000000,2019,45000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2016 Mitsubishi Mirage Exceed,115000000,2016,100000,"Jakarta Pusat
5 Seat
1193 Cc
Panggilan Gratis",Bensin,CVT
2020 Suzuki Baleno AT,190000000,2020,,,,Otomatis
2013 Mazda 2 Hatchback HATCHBACK 1.5 RZ AT,115000000,2013,90000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2022 Mazda 2 GT SKYACTIV,250000000,2022,13889,"Jakarta Pusat
Panggilan Gratis",Bensin,
2012 Mazda 2 RZ AT,120000000,2012,,,,Otomatis
2019 Mazda 2 GT SKYACTIV,205000000,2019,48000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2012 Ford Fiesta 1.5L AT S,99000000,2012,130139,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2018 Honda Civic Hatchback 1.5 RS AT,290000000,2018,,,,Otomatis
2017 Mazda 2 1.5 R AT,195000000,2017,54000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2022 Mazda 2 GT AT,249000000,2022,14000,"Jakarta Pusat
5 Seat
1496 Cc
Panggilan Gratis",Bensin,Otomatis
2014 Mazda 2 GT AT,170000000,2014,,,,Otomatis
2012 Mazda 2 Hatchback SPORTS AT,108000000,2012,88000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2014 Mazda 2 V AT,120000000,2014,92000,"Jakarta Pusat
5 Seat
1496 Cc
Panggilan Gratis",Bensin,Otomatis
2022 Daihatsu Sirion 1.3 R AT,180000000,2022,,,,Otomatis
2017 Mazda 2 SKYACTIVE R A/T,175000000,2017,64902,"Jakarta Pusat
Panggilan Gratis",Bensin,
2019 Mazda 2 R SKYACTIV AT,165000000,2019,40000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2018 Daihatsu Sirion 1.3L AT,170000000,2018,,,,Otomatis
2013 Mitsubishi Mirage Exceed,101000000,2013,105000,"Jakarta Pusat
5 Seat
1193 Cc
Panggilan Gratis",Bensin,CVT
2021 Mazda 2 GT SKYACTIV,225000000,2021,27000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2018 Mazda 2 GT SKYACTIV,185000000,2018,,,,
2022 Mazda 2 Hatchback GT 1.5L AT,225000000,2022,30000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2017 Suzuki Baleno AT,175000000,2017,,,,Otomatis
2019 Honda Civic Hatchback E CVT,317000000,2019,53000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2017 Mazda 2 GT AT,185000000,2017,12345,"Jakarta Pusat
5 Seat
1496 Cc
Panggilan Gratis",Bensin,Otomatis
2023 Mazda 2 Hatchback GT 1.5L AT,300000000,2023,,,,Otomatis
2018 Honda Civic Hatchback TURBO HATCHBACK S 1.5 AT,295000000,2018,90000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2016 Mazda 2 SKYACTIVE R A/T,165000000,2016,74474,"Jakarta Pusat
Panggilan Gratis",Bensin,
2024 Suzuki Baleno AT,250000000,2024,,,,Otomatis
