name,price,year,total_km,location,engine_type,transmission
2023 Honda BRV Prestige 1.5L AT,270000000,2023,36000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2018 Mazda CX-5 2.5L GT AT,369000000,2018,,,,Otomatis
2017 Honda BRV Prestige 1.5L AT,187000000,2017,68000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2019 Suzuki SX4 S Cross AT,178000000,2019,80000,"Jakarta Pusat
5 Seat
1491 Cc
Panggilan Gratis",Bensin,Otomatis
2017 Mazda CX-5 GT,265000000,2017,,,,Otomatis
2022 Suzuki SX4 S Cross AT,215000000,2022,15000,"Jakarta Pusat
5 Seat
1491 Cc
Panggilan Gratis",Bensin,Otomatis
2022 Mazda CX-5 Kuro,435000000,2022,,,,Otomatis
2014 Mazda CX-5 GRAND TOURING SKYACTIVE,165000000,2014,80000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2013 Nissan March 1.2 MT,85000000,2013,,,,Manual
2013 Mazda CX-5 GRAND TOURING SKYACTIVE,149000000,2013,102000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2023 Mazda CX-5 Kuro,550000000,2023,,,,Otomatis
2020 Mazda CX-5 GT,380000000,2020,35000,"Jakarta Pusat
5 Seat
2488 Cc
Panggilan Gratis",Bensin,Otomatis
2023 Mazda CX-5 GRAND TOURING SKYACTIVE,530000000,2023,,,,
2022 Honda BRV Prestige 1.5L AT,257000000,2022,,,,Otomatis
2018 Mazda CX-5 Elite,366000000,2018,59000,"Jakarta Pusat
5 Seat
2488 Cc
Panggilan Gratis",Bensin,Otomatis
2018 Mazda CX-5 GRAND TOURING,292000000,2018,,,,
2015 Nissan March 1.2 XS AT,110000000,2015,85000,"Jakarta Pusat
5 Seat
1198 Cc
Panggilan Gratis",Bensin,Otomatis
2018 Mazda CX-5 GT,311000000,2018,61000,"Jakarta Pusat
5 Seat
2488 Cc
Panggilan Gratis",Bensin,Otomatis
2012 Nissan March 1.2 AT,91000000,2012,107000,"Jakarta Pusat
5 Seat
1198 Cc
Panggilan Gratis",Bensin,Otomatis
2021 Mazda CX-5 Kuro,440000000,2021,27000,"Jakarta Pusat
5 Seat
2488 Cc
Panggilan Gratis",Bensin,Otomatis
2020 Mazda CX-5 2.5L GT AT,398000000,2020,2707,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2015 Nissan March 1.2 AT,127000000,2015,88161,"Jakarta Pusat
5 Seat
1198 Cc
Panggilan Gratis",Bensin,Otomatis
2016 Honda BRV Prestige 1.5L AT,188000000,2016,91000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2023 Mazda CX-5 Elite,430000000,2023,,,,Otomatis
